Datetime,Water Level (m)
2024-03-28 12:00:00,0.1485871
2024-03-28 13:00:00,-0.03939603
2024-03-28 14:00:00,-0.23437329
2024-03-28 15:00:00,-0.4187733
2024-03-28 16:00:00,-0.5200615
2024-03-28 17:00:00,-0.36047837
2024-03-28 18:00:00,-0.119310185
2024-03-28 19:00:00,0.15035236
2024-03-28 20:00:00,0.41131696
2024-03-28 21:00:00,0.5593493
2024-03-28 22:00:00,0.45271462
2024-03-28 23:00:00,0.25393587
2024-03-29 00:00:00,0.067353114
2024-03-29 01:00:00,-0.13339822
2024-03-29 02:00:00,-0.3395114
2024-03-29 03:00:00,-0.53651506
2024-03-29 04:00:00,-0.67482966
2024-03-29 05:00:00,-0.5459567
2024-03-29 06:00:00,-0.2892213
2024-03-29 07:00:00,-0.0058336607
2024-03-29 08:00:00,0.290678
2024-03-29 09:00:00,0.5215186
2024-03-29 10:00:00,0.5772773
2024-03-29 11:00:00,0.4160291
2024-03-29 12:00:00,0.23640594
2024-03-29 13:00:00,0.0507801
2024-03-29 14:00:00,-0.14720568
2024-03-29 15:00:00,-0.34255165
2024-03-29 16:00:00,-0.50027287
2024-03-29 17:00:00,-0.4629003
2024-03-29 18:00:00,-0.23593615
2024-03-29 19:00:00,0.013070057
2024-03-29 20:00:00,0.26587352
2024-03-29 21:00:00,0.4499126
2024-03-29 22:00:00,0.43860614
2024-03-29 23:00:00,0.25888833
2024-03-30 00:00:00,0.08363439
2024-03-30 01:00:00,-0.100716956
2024-03-30 02:00:00,-0.29135582
2024-03-30 03:00:00,-0.4817654
2024-03-30 04:00:00,-0.64625233
2024-03-30 05:00:00,-0.6687884
2024-03-30 06:00:00,-0.4472813
2024-03-30 07:00:00,-0.18254139
2024-03-30 08:00:00,0.10526823
2024-03-30 09:00:00,0.37509665
2024-03-30 10:00:00,0.5375302
2024-03-30 11:00:00,0.47881776
2024-03-30 12:00:00,0.30528337
2024-03-30 13:00:00,0.13555872
2024-03-30 14:00:00,-0.048448466
2024-03-30 15:00:00,-0.2318044
2024-03-30 16:00:00,-0.39597684
2024-03-30 17:00:00,-0.4601628
2024-03-30 18:00:00,-0.29226848
2024-03-30 19:00:00,-0.076992266
2024-03-30 20:00:00,0.14314574
2024-03-30 21:00:00,0.3296915
2024-03-30 22:00:00,0.39369452
2024-03-30 23:00:00,0.26981416
2024-03-31 00:00:00,0.10558751
2024-03-31 01:00:00,-0.06571489
2024-03-31 02:00:00,-0.24584301
2024-03-31 03:00:00,-0.42792094
2024-03-31 04:00:00,-0.59443295
2024-03-31 05:00:00,-0.6900707
2024-03-31 06:00:00,-0.54680294
2024-03-31 07:00:00,-0.31720346
2024-03-31 08:00:00,-0.06958215
2024-03-31 09:00:00,0.188821
2024-03-31 10:00:00,0.3992941
2024-03-31 11:00:00,0.4844475
2024-03-31 12:00:00,0.3809852
2024-03-31 13:00:00,0.22018665
2024-03-31 14:00:00,0.057659112
2024-03-31 15:00:00,-0.11263785
2024-03-31 16:00:00,-0.2744275
2024-03-31 17:00:00,-0.39996293
2024-03-31 18:00:00,-0.3795339
2024-03-31 19:00:00,-0.19799772
2024-03-31 20:00:00,-0.009005179
2024-03-31 21:00:00,0.16403574
2024-03-31 22:00:00,0.2813891
2024-03-31 23:00:00,0.28353932
2024-04-01 00:00:00,0.15750894
2024-04-01 01:00:00,0.0074199876
2024-04-01 02:00:00,-0.15041453
2024-04-01 03:00:00,-0.31692234
2024-04-01 04:00:00,-0.48214772
2024-04-01 05:00:00,-0.6224725
2024-04-01 06:00:00,-0.66824824
2024-04-01 07:00:00,-0.5054081
2024-04-01 08:00:00,-0.29159534
2024-04-01 09:00:00,-0.06319019
2024-04-01 10:00:00,0.16978705
2024-04-01 11:00:00,0.35886574
2024-04-01 12:00:00,0.4378124
2024-04-01 13:00:00,0.360384
2024-04-01 14:00:00,0.22064407
2024-04-01 15:00:00,0.078798756
2024-04-01 16:00:00,-0.07063368
2024-04-01 17:00:00,-0.21271451
2024-04-01 18:00:00,-0.32534924
2024-04-01 19:00:00,-0.33317095
2024-04-01 20:00:00,-0.20430394
2024-04-01 21:00:00,-0.05664061
2024-04-01 22:00:00,0.08061768
2024-04-01 23:00:00,0.17983338
2024-04-02 00:00:00,0.1929388
2024-04-02 01:00:00,0.098118
2024-04-02 02:00:00,-0.029252367
2024-04-02 03:00:00,-0.16603532
